company-domain,companyDisplayname,companyName,Column1,Column2
swissq.it,SwissQ,swissq,1,1
,SwissSalary Ltd.,swisssalary,0,1
swisstopo.ch,swisstopo,swisstopo,1,1
switch.ch,SWITCH,switch,1,1
sword-group.ch,SWORD Services SA,sword-group,1,1
synlogic.ch,SYNLOGIC AG,synlogic,1,1
t-systems.ch,T-Systems Schweiz AG,t-systems,1,1
t2b.ch,t2b,t2b,1,1
talend.com,Talend,talend,1,1
teamwork.net,TeamWork Schweiz AG,teamwork,1,1
in.tum.de,Technische Universität München,in,1,1
techstrat.ch,TechStrat,techstrat,1,1
,TecMinds GmbH,tecminds,0,1
,Tecoma Group AG,tecoma,0,1
teligo.ch,Teligo GmbH,teligo,1,1
teradata.com,Teradata,teradata,1,1
teratel.ch,TeraTel GmbH,teratel,1,1
teso.ch,Teso GmbH,teso,1,1
fppch.ch,The Knowledge Place,fppch,1,1
thinkbeyond.ch,think beyond,thinkbeyond,1,1
ti8m.ch,ti&m,ti8m,1,1
tirsus.com,Tirsus,tirsus,1,1
transgourmet.ch,Transgourmet Schweiz AG,transgourmet,1,1
,triniqua AG,triniqua,0,1
tripons.com,Tripons,tripons,1,1
trivadis.com,Trivadis,trivadis,1,1
twint.ch,TWINT,twint,1,1
inf.unibe.ch,Uni Bern,unibe,1,4
yandex.ru,Uni Gättingen,yandex,1,1
ifi.unizh.ch,Uni Zürich,ifi,1,1
unic.com,Unic AG,unic,1,1
unisys.com,Unisys,unisys,1,1
u-s-p.ch,United Security Providers,u-s-p,1,1
unisg.ch,Universität St. Gallen,unisg,1,1
ursbuerge.ch,Urs Bürge Beratung,ursbuerge,1,1
,UVEK/BAFU,uvek/bafu,0,1
valion.ch,Valion AG,valion,1,1
vbs.admin.ch,VBS,vbs,1,1
visana.ch,Visana Services AG,visana,1,1
vitodata.ch,Vitodata AG,vitodata,1,1
vr2swiss.ch,VR2Swiss AG,vr2swiss,1,1
waeberinformatik.ch,Waeber & Co,waeberinformatik,1,1
waeberinformaitk.ch,Waeber Informatik,waeberinformaitk,1,1
walter.ch,Walter Systems AG,walter,1,1
,Ward Software Architects,ward,0,1
,Wasser Bern,wasser,0,1
wearecube.ch,We Are Cube.,wearecube,1,1
,Webruler GmbH,webruler,0,1
,weroSoft,werosoft,0,1
wib.ch,WiB Solutions AG,wib,1,1
xhuma.ch,xhuma,xhuma,1,1
ximiq.ch,Ximiq AG,ximiq,1,1
xpertcenter.ch,XpertCenter,xpertcenter,1,1
,yonesu,yonesu,0,1
zazuko.com,Zazuko GmbH,zazuko,1,1
zebbra.ch,zebbra,zebbra,1,1
,zeitlos.software,zeitlos.software,0,1
,Zentrale Informatikdienste,zentrale,0,1
,Zentrale Informatikdienste des Kt. Basel-Stadt,zentrale,0,1
,ZHAW,zhaw,0,1
zkb.ch,ZKB,zkb,1,1
,Zooey,zooey,0,1
zuehlke.com,Zühlke,zuehlke,1,1
aiki.ch,,aiki,1,0
bodenmann.org,,bodenmann,1,0
buchs-herren.ch,,buchs-herren,1,0
carsten-dreyer.de,,carsten-dreyer,1,0
claude-glauser.ch,,claude-glauser,1,0
collineat.ch,,collineat,1,0
databinding.net,,databinding,1,0
delta-es,,delta-es,1,0
docksnet.ch,,docksnet,1,0
eblcom.ch,,eblcom,1,0
ebrief.li,,ebrief,1,0
eclipso.ch,,eclipso,1,0
eliza.ch,,eliza,1,0
evard.ch,,evard,1,0
eweibel.net,,eweibel,1,0
fernfachhochschule.ch,,fernfachhochschule,1,0
fibermail.ch,,fibermail,1,0
freesurf.ch,,freesurf,1,0
gassert.ch,,gassert,1,0
gravel.de,,gravel,1,0
greenmail.ch,,greenmail,1,0
hplus.ch,,hplus,1,0
hsr.ch,,hsr,1,0
intergga.ch,,intergga,1,0
itaricon.ch,,itaricon,1,0
itelligence.ch,,itelligence,1,0
janowsky.ch,,janowsky,1,0
jonasbandi.net,,jonasbandi,1,0
kapp.ch,,kapp,1,0
kronawitter.ch,,kronawitter,1,0
lehmann-bern.ch,,lehmann-bern,1,0
lupascu.ch,,lupascu,1,0
mainini.ch,,mainini,1,0
margreth.com,,margreth,1,0
martinelli.ch,,martinelli,1,0
mentor.ch,,mentor,1,0
mykolab.ch,,mykolab,1,0
narnia.ch,,narnia,1,0
netcologne.de,,netcologne,1,0
nidi.guru,,nidi,1,0
nigg.biz,,nigg,1,0
nivoba.de,,nivoba,1,0
ober.li,,ober,1,0
prosoftwarica.com,,prosoftwarica,1,0
pueo-owl.ch,,pueo-owl,1,0
realityloop.net,,realityloop,1,0
rindlisbacher.info,,rindlisbacher,1,0
robward.ch,,robward,1,0
rtinMosler.de,,rtinMosler,1,0
ruch.ch,,ruch,1,0
scherz.be,,scherz,1,0
secondfloor.com,,secondfloor,1,0
sources.ch,,sources,1,0
spectraweb.ch,,spectraweb,1,0
stangenberg.ch,,stangenberg,1,0
steam-it.ch,,steam-it,1,0
steria.ch,,steria,1,0
studa.ch,,studa,1,0
swaco.ch,,swaco,1,0
t-online.de,,t-online,1,0
thowe.ch,,thowe,1,0
vonwyl.org,,vonwyl,1,0
vtg.admin.ch,,vtg,1,0
web.de,,web,1,0
wittmannweb.net,,wittmannweb,1,0
,SNF,snf,0,1
